listing_id,id,date,reviewer_id,reviewer_name,comments
32711,1069513373764545588,2024-01-15,548330800,Mario,"El lugar muy acogedor nos quedamos con las ganas de regresar en el futuro, el anfitrión Nick es muy amable y cordial, muy recomendable el alojamiento y a unos pasos de la sagrada familia."
32711,1076721116651472480,2024-01-25,465412694,Maria,"Excelente apartamento, muy cómodo, buena ubicación a pocos pasos de la sagrada familia. Con todas las comodidades, con una lavandería al lado del edificio. 100% recomendado"
1359821,31439896,2015-05-05,5497042,Marie,"Sandra apartamento es muy agradable y bien ubicado en el centro de la cuidad, cerca de todo. Sandra fue muy simpatica. Un lugar perfecto para las vacaciones!
<br/>muchas gracias Sandra!"
1359821,52510081,2015-10-30,14550304,Alfons,"Apartamento muy agradable y tranquilo, con soberbias vistas al Tibidabo y en un barrio, Gracia, que tiene todos los atractivos para el turista. Sandra fue muy amable y siempre estuvo a nuestra disposición."
1359821,149641773,2017-05-05,4467701,Rosana,"Todo es tal como se ve en las fotografías, agradable, limpio y espacios muy cómodos. Un barrio muy bonito y pintoresco, lleno de pequeñas calles con mucha vida: tiendas, restaurantes, galerías, bares... Para explorar y sorprenderte! Muy bien ubicado, con el metro justo al lado. Excelente trato y comunicación por parte de Sandra, muy profesional. Le agradecemos su buena disposición y hospitalidad. <br/>Recomendado al 100%. "
1359821,217437496,2017-12-09,152089702,Gregorio,Totalmente equipada. Incluso nos repusieron al día siguiente una batidora rota de huéspedes anteriores con una nueva.
715036,217669900,2017-12-10,57532801,Imanol,"Apartamento muy recomendable para visitar Barcelona unos días. Lugar centrico, muy cerca del centro y con variedad de posibilidades para cualquier cosa ( supermercados, bares, lugares de interes,...)."
715036,226341701,2018-01-10,41117072,Imanol,"El departamento está bien en general, bien surtido en equipo de cocina y amplio. Lo peor es la subida de cinco pisos si vas con maletas y luego la bajada. "
715036,232131088,2018-02-04,162150009,Veronica,El piso se encuentra cercano al  metro y a buenos restaurantes. <br/>El barrio tiene bastante vida nocturna.
715036,322145320,2018-09-12,72363972,Barbara,"Me hospede con mi familia y fue una experiencia muy agradable. Es un departamento muy bien ubicado, con restaurantes y supermercado cerca, así como estación de metro a algunos pasos. Tomar en cuenta, nada mas, que hay subir algunos pisos.<br/>La hospitalidad de Montserrat es excelente. Te recomienda sitios y restaurantes a conocer, tiene consideraciones contigo en cuento a los tiempos de llegada. El departamento es espacioso, limpio y con buena luz. Se puede descansar bastante bien. Los servicios básicos están en buenas condiciones. Se siente un ambiente hogareño. Sin duda lo repetiríamos :)"
715036,404221099,2019-01-23,111738910,Jorge,"Muy lindo lugar, excelente ubicación, muy acogedor.<br/>La comunicación con Jordi ( hijo de Monserrat ) fue muy buena, se preocupó siempre de que tuviéramos buena estadía en su ciudad, sin duda volvería a su departamento."
715036,432210017,2019-04-03,49041190,Gaston,"Todo impecable, el piso es muy bonito, cómodo y perfectamente equipado. La zona es muy buena de facil acceso, cerca del metro, bares y con un supermercado frente."
715036,454023460,2019-05-17,24907088,Eva,"Nada mas entrar al edificio vimos un cartel (en cada piso) que avisaba de la existencia de una plaga de cucarachas, diciendo que cada vez aparecían “mas grandes” debido a la antigüedad del edificio y a la humedad. <br/>Al llegar Alex, le comunicamos nuestra preocupación, y nos dijo que ese cartel llevaba mucho tiempo y que no nos preocupáramos.<br/>Y la segunda noche cuando llegamos nos encontramos, al menos 12 cucarachas en la zona de la cocina y el baño. <br/>La única solución que nos dieron fue que nos marcháramos al día siguiente del piso cobrándonos las dos noches.<br/>Esto supuso que tuvimos que buscar hotel para dos noches mas ya que estábamos en Barcelona por temas de trabajo.<br/>No recomiendo este piso hasta que se solucione el problema de las cucarachas, mejoren la limpieza, cambien la mampara del baño, ya que no cierra, y mejoren las condiciones en general del piso.<br/>Soy usuaria habitual de Airbnb, y esta es la primera vez que me he sentido engañada.<br/>El piso no debería haber estado disponible para su alquiler teniendo el problema de la plaga de cucarachas."
715036,467932725,2019-06-11,31936460,Paulo,Monserrat fue de mucha ayuda con sugerencias locales.<br/>El apartamento tiene muy buena ubicación.
1359821,349873983,2018-11-18,77068206,Gabriela,"Muy cómodo, bien ubicado, muy bien equipado y con detalles que hacen cómoda la estadía."
1359821,410027398,2019-02-09,66154064,Plinio Enrique,"Recomendadisimo! Comodo, agradable, y completo. La localización perfecta para visitar cualquier sitio en Barcelona."
1359821,477896545,2019-06-29,52299196,Juan,"Buena ubicación, aire acondicionado solamente en la sala. En términos generales el lugar estuvo bien para su precio."
32711,1131042806325192790,2024-04-09,340883361,Cynthia,"Le falta mantenimiento, paredes sucias al igual que el baño, no era agradable bañarte en esa ducha. Las almohadas eran duras y las sábanas viejas y manchadas al igual que las toallas de baño"
32711,1132467843415831900,2024-04-11,356217260,Ely Narielis,"Bueno, no suelo escribir reseñas pero de 3 airbnb que utilice durante mi viaje, si me gustaría destacar la amabilidad de Nick.<br/>El apartamento es viejo, como la mayoría de las infraestructuras en zonas centrales de Europa, sin embargo, con buenas condiciones para pasar unos días! <br/>Apartamento céntrico, con vista a la sagrada familia. Con ascensor! Nick muy atento a todo! <br/>Algunos detalles en cuanto a mantenimiento, pero nada que supere los detalles a favor! <br/>Muchas gracias Nick!"
32711,1138286909478893895,2024-04-19,544956264,Brenda,"Nick fue muy amable y dispuesto con nosotros, nos explicó todos los detalles del departamento y nos hizo sentir muy cómodos! El departamento es muy cómodo y amplio, tal como indica la descripción. Está a 3 cuadras de la Sagrada Familia y del metro, en un barrio que es bonito y tranquilo. Estuvo todo muy bien durante la estadía!!"
32711,1186808234113230142,2024-06-25,357454717,Jose Eli,Buena atención. Puntuales. Linda vista
32711,1228111305030185079,2024-08-21,162840914,Daniela Belen,Fue una buena estadía para mi familia!
32711,1239022967266452828,2024-09-05,126319883,Marcos,Excelente anfitrión
32711,1248498490108749377,2024-09-18,530267364,Teffy,"Todo estuvo bien,  un poco frío el lugar y un poco más pequeño que las fotos, pero en general todo agradable."
32711,1258662117826653815,2024-10-02,519892955,Manuel,"Lo Recomiendo completamente , por la ubicacion a la Sagrada Familia. La ventana te buena vision a la misma , tb es muy cerca a la estacion y todo."
32711,1278219874577841270,2024-10-29,188718132,Samaria,Excelente anfitrión solo q en cocina y habitación había un olor extraño<br/>Depto antiguo faltarían algunas remodelaciones
32711,1282498488987210112,2024-11-04,426072566,Enrique,"Muy buena comunicación con Nick, muy amable, la ubicación excelente. Si regresaría"
32711,1323852680772024289,2024-12-31,116747961,Raul,Muy buena atención
32711,1332516727249778601,2025-01-12,72645911,Sara,"Excelente ubicación, repetiría seguro. Gracias Nick"
32711,1360116545921334981,2025-02-19,520236092,Fernando Javier,Excelente departamento! Inmejorable ubicación! Nick es un excelente anfitrión!
32711,1420935668472357045,2025-05-14,221060950,Luisa Fernanda,"Muy buena ubicación, amplio, con supermercados cercanos, buenas indicaciones y comunicación. Es un lugar tranquilo y seguro."
32711,1457192004611098805,2025-07-03,593446388,Alejandra,Está súper cerca de la Sagrada Familia y por lo mismo hay muchos restaurantes cerca
715036,476374636,2019-06-26,147698678,Nicolas,Muy buena ubicacion y muy lindo apartamento. Anfitrion muy atento.
715036,556351975,2019-10-29,264743998,Rodrigo,"Excelente departamento, tal como lo descrito. Muy limpio y con una excelente ubicación, cerca del metro y el barrio muy animado con gente local. La comunicación con Montserrat fue muy buena desde el principio, además de recomendarnos sitios de interés y restaurantes frecuentados por locales. Sin duda un gran lugar para hospedarse."
715036,752329637,2021-04-26,37470808,Irene,"La casa está muy bien hubicada y es fiel a las fotos. Monserrat es súper atenta y amable, lo puso todo muy facil. La casa tenía algunos desperfectos de mobiliario, nada importante, que comentamos y supongo que arreglarán."
